시도_코드,시도_명,평균_경과년수,평균_내구연한,평균_잔존연한,평균_잔존비율
00,전국,29.746423429766,45.495126713475,22.202056806474,0.47638853923929
11,서울특별시,26.936571588161,48.601638097446,23.132428919463,0.46669654310206
26,부산광역시,28.806568011201,46.854102586541,21.186744769945,0.4376515092004
27,대구광역시,29.71390684275,46.449015161431,20.825772959421,0.43526035410021
28,인천광역시,23.932338453889,47.566508515314,25.148160397452,0.52002391041947
29,광주광역시,25.97578136502,47.104491097592,23.26867095521,0.48448508691879
30,대전광역시,29.328019839277,47.566130922485,21.855093755232,0.44940090188186
31,울산광역시,24.493781710975,46.3228170842,23.791926187836,0.50397613024572
36,세종특별자치시,23.725169289813,46.068278687012,29.900398084765,0.62858765464963
41,경기도,21.202395134078,46.264223941163,26.855301916072,0.57141991291806
43,충청북도,36.51779616902,43.742665271021,20.010801544355,0.449338838439
44,충청남도,33.717371561953,43.529397519213,21.433456577848,0.48065808759351
46,전라남도,40.63339872132,42.550252666325,17.428286851743,0.39842719605825
47,경상북도,39.944065663188,42.878108225462,17.972586265568,0.41124946159232
48,경상남도,36.076421930914,43.841704563223,19.433587337863,0.42922797894876
50,제주특별자치도,26.909510394895,45.489163359889,24.212413796585,0.51738280286605
51,강원특별자치도,25.561823767138,44.263889763185,22.470355285853,0.50026209263776
52,전북특별자치도,35.703667073806,42.803015516246,18.281374066077,0.41410746623163
