용도_대분류_코드,연도,허가착공_기간,착공준공_기간,허가준공_기간
26,2017,49,268,346
26,2018,16,161,208
26,2019,75,386,507
26,2020,112,297,584
26,2021,24,187,220
26,2022,90,470,539
26,2023,88,541,571
26,2024,58,455,508
27,2015,26,219,268
27,2016,38,231,343
27,2017,29,385,548
27,2018,33,299,360
27,2019,57,357,437
27,2020,70,367,508
27,2021,86,337,441
27,2022,40,451,649
27,2023,111,257,354
27,2024,93,560,714
28,2015,26,224,249
28,2016,12,9,19
28,2017,,238,252
28,2018,28,,
28,2020,,,15
28,2021,262,26,288
28,2023,8,33,45
28,2024,2,96,104
29,2015,85,315,449
29,2016,79,296,344
29,2017,231,317,375
29,2018,141,302,507
29,2019,88,389,523
29,2020,77,294,654
29,2021,40,455,764
29,2022,113,310,408
29,2023,848,427,946
29,2024,552,347,653
30,2015,35,155,243
30,2016,36,196,290
30,2017,41,175,271
30,2018,49,192,285
30,2019,50,159,277
30,2020,47,196,325
30,2021,59,197,314
30,2022,79,200,292
30,2023,75,219,377
30,2024,105,236,449
31,2015,33,,
31,2016,13,92,108
31,2017,21,136,183
31,2018,36,200,264
31,2019,36,235,336
31,2020,43,253,365
31,2021,24,138,193
31,2022,33,203,268
31,2023,52,251,319
31,2024,49,278,369
33,2022,36,,
33,2023,66,523,666
33,2024,100,741,770
