시도코드,시도명,폐지여부
11,서울특별시,존재
21,부산직할시,폐지
22,대구직할시,폐지
23,인천직할시,폐지
24,광주직할시,폐지
25,대전직할시,폐지
26,부산광역시,존재
27,대구광역시,존재
28,인천광역시,존재
29,광주광역시,존재
30,대전광역시,존재
31,울산광역시,존재
36,세종특별자치시,존재
41,경기도,존재
42,강원도,폐지
43,충청북도,존재
44,충청남도,존재
45,전라북도,폐지
46,전라남도,존재
47,경상북도,존재
48,경상남도,존재
49,제주도,폐지
50,제주특별자치도,존재
51,강원특별자치도,존재
52,전북특별자치도,존재
