층_주_용도_코드,층_주_용도_코드_명,재조달용도명,재조달용도코드
32101,보호감호소,공공청사,A04B04
32102,구치소,공공청사,A04B04
32103,교도소,공공청사,A04B04
32999,기타교정시설,공공청사,A04B04
33001,"국방,군사시설",공공청사,A04B04
33999,"기타국방,군사시설",공공청사,A04B04
Z3000,근린생활시설,점포 및 상가,A03B01
Z3001,소매점,점포 및 상가,A03B01
Z3002,휴게음식점,점포 및 상가,A03B01
Z3003,이(미)용원,점포 및 상가,A03B01
Z3004,일반목욕장,일반목욕탕,A03B02
Z3005,의원,병원,A10B01
Z3007,마을공동시설,일반창고,A05B04
Z3008,변전소,점포 및 상가,A03B01
Z3009,양수장,일반창고,A05B04
Z3010,정수장,일반공장,A05B01
Z3011,대피소,공공청사,A04B04
Z3012,공중화장실,일반창고,A05B04
Z3014,치과의원,점포 및 상가,A03B01
Z3015,한의원,점포 및 상가,A03B01
Z3017,접골원,점포 및 상가,A03B01
Z3018,조산소,점포 및 상가,A03B01
Z3019,탁구장,점포 및 상가,A03B01
Z3020,체육도장,점포 및 상가,A03B01
Z3021,마을공회당,일반창고,A05B04
Z3022,마을공동작업소,일반창고,A05B04
Z3023,마을공동구판장,일반창고,A05B04
Z3100,공공시설,공공청사,A04B04
Z3101,동사무소,공공청사,A04B04
Z3103,파출소,공공청사,A04B04
Z3104,소방서,공공청사,A04B04
Z3105,우체국,공공청사,A04B04
Z3106,전신전화국,점포 및 상가,A03B01
Z3107,방송국,공공청사,A04B04
Z3108,보건소,공공청사,A04B04
Z3199,기타공공시설,공공청사,A04B04
Z3201,일반음식점,점포 및 상가,A03B01
Z3202,휴게음식점,점포 및 상가,A03B01
Z3203,기원,점포 및 상가,A03B01
Z3205,제조업소,일반공장,A05B01
Z3206,수리점,점포 및 상가,A03B01
Z3207,게임제공업소,점포 및 상가,A03B01
Z3208,사진관,점포 및 상가,A03B01
Z3209,표구점,점포 및 상가,A03B01
Z3210,학원,점포 및 상가,A03B01
Z3212,동물병원,점포 및 상가,A03B01
Z3214,독서실,점포 및 상가,A03B01
Z3216,단란주점,점포 및 상가,A03B01
Z3217,의약품도매점,점포 및 상가,A03B01
Z3219,안마시술소,점포 및 상가,A03B01
Z3220,노래연습장,점포 및 상가,A03B01
Z3221,세탁소,점포 및 상가,A03B01
Z3300,운동시설,점포 및 상가,A03B01
Z3302,체력단련장,점포 및 상가,A03B01
Z3304,볼링장,볼링장,A09B02
Z3305,당구장,점포 및 상가,A03B01
Z3307,골프연습장,레저시설(인도어골프연습장),A09B04
Z3399,기타운동시설,점포 및 상가,A03B01
Z3400,종교집회장,보류!!!!!!!!!!,A16B01
Z3401,교회,교회 및 성당,A16B01
Z3402,성당,교회 및 성당,A16B01
Z3403,사찰,교회 및 성당,A16B01
Z3499,기타종교집회장,교회 및 성당,A16B01
Z3500,공연장,점포 및 상가,A03B01
Z3501,극장(영화관),점포 및 상가,A03B01
Z3600,사무소,사무실(15층이하),A04B01
Z3601,금융업소,점포 및 상가,A03B01
Z3602,사무소,점포 및 상가,A03B01
Z3603,부동산중개업소,점포 및 상가,A03B01
Z3699,기타사무소,사무실(15층이하),A04B01
Z3999,기타근린생활시설,점포 및 상가,A03B01
Z5000,문화및집회시설,보류!!!!!!!!!!,A03B01
Z6000,판매및영업시설,점포 및 상가,A03B01
Z6999,기타판매및영업시설,점포 및 상가,A03B01
Z7001,축사,축사,A18B01
Z7002,가축시설,축사,A18B01
Z8000,교육연구및복지시설,복지관,A17B01
Z8999,기타교육연구및복지시설,도서관,A13B02
Z9999,기타공공용시설,공공청사,A04B04
